Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,211,Research & Development,20,3,Marketing,3,Male,58,4,1,Healthcare Representative,2,Single,19836,3796,1,No,19,3,1,3,15,6,3,0,7,4,5
40,No,Non-Travel,707,Research & Development,16,4,Other,2,Female,68,1,2,Sales Representative,3,Single,5752,14424,4,No,20,3,1,3,3,4,1,29,6,12,13
26,No,Travel_Rarely,419,Research & Development,11,1,Other,3,Male,80,3,3,Manager,2,Single,13548,20891,0,No,12,3,4,0,30,5,1,36,16,7,12
31,No,Travel_Frequently,575,Sales,24,1,Medical,1,Female,79,4,3,Human Resources,4,Married,17669,6991,1,No,24,3,1,1,28,1,1,17,10,12,2
57,No,Non-Travel,335,Sales,1,2,Technical Degree,4,Male,92,2,5,Healthcare Representative,3,Single,18893,14107,3,No,23,3,3,2,37,0,4,8,6,12,11
50,Yes,Travel_Frequently,211,Research & Development,10,2,Marketing,3,Male,54,2,1,Sales Executive,1,Single,2121,16605,1,No,19,3,1,2,34,4,1,11,13,14,3
21,No,Travel_Rarely,1282,Research & Development,17,5,Marketing,2,Female,36,1,5,Manager,1,Divorced,18806,20587,0,Yes,16,3,2,2,37,5,2,34,6,8,15
42,No,Travel_Rarely,512,Sales,9,3,Other,1,Male,91,1,1,Laboratory Technician,2,Single,13513,2215,7,No,13,4,3,0,37,1,4,22,3,7,11
55,No,Travel_Rarely,1262,Research & Development,13,2,Other,3,Male,59,1,2,Sales Representative,3,Married,16872,14951,9,No,12,3,3,3,3,4,2,30,11,3,13
18,No,Travel_Frequently,1416,Research & Development,4,4,Technical Degree,4,Female,41,4,2,Research Scientist,3,Single,16642,20828,7,No,12,3,1,2,38,4,4,31,1,5,5
36,No,Travel_Frequently,1489,Research & Development,27,2,Medical,3,Male,74,2,1,Manager,2,Married,6060,20190,6,No,12,3,1,0,37,2,4,15,0,6,15
41,Yes,Non-Travel,933,Research & Development,16,3,Technical Degree,1,Female,70,2,5,Manager,4,Married,5701,15715,4,Yes,25,4,4,1,25,4,3,28,6,12,10
43,No,Travel_Rarely,696,Research & Development,10,2,Life Sciences,1,Male,89,2,5,Healthcare Representative,4,Married,2909,19681,3,No,14,3,2,2,14,5,1,17,7,8,10
58,Yes,Travel_Rarely,113,Research & Development,8,5,Marketing,2,Male,94,3,3,Research Director,3,Single,5954,13509,4,Yes,24,3,1,1,34,3,4,27,16,14,9
29,No,Travel_Rarely,1061,Research & Development,6,2,Medical,3,Male,39,3,1,Sales Executive,4,Married,14306,9708,2,No,21,3,4,0,24,2,2,16,14,14,10
21,No,Travel_Rarely,891,Sales,1,5,Marketing,4,Female,79,4,1,Manufacturing Director,2,Single,12354,4531,0,No,12,3,1,1,13,6,4,22,16,0,9
42,No,Travel_Rarely,638,Research & Development,7,5,Technical Degree,4,Female,39,3,3,Laboratory Technician,4,Single,13633,8239,8,No,12,3,3,1,25,6,4,13,1,8,10
22,Yes,Travel_Rarely,978,Research & Development,3,2,Technical Degree,2,Male,77,1,5,Laboratory Technician,1,Divorced,5358,23758,1,No,18,3,1,2,35,2,2,27,16,12,2
34,No,Travel_Rarely,1345,Research & Development,5,1,Technical Degree,1,Male,96,3,4,Healthcare Representative,2,Married,5204,15402,7,No,20,4,4,2,23,6,1,16,16,3,9
34,Yes,Travel_Rarely,1262,Research & Development,9,3,Life Sciences,2,Female,94,3,3,Healthcare Representative,3,Divorced,4469,19867,2,Yes,18,3,4,2,6,1,1,16,7,1,8
44,No,Travel_Rarely,211,Research & Development,5,1,Other,1,Female,43,1,2,Healthcare Representative,2,Married,16387,18524,9,No,13,3,1,1,35,1,3,3,17,10,8
46,No,Travel_Rarely,415,Sales,6,1,Life Sciences,2,Male,57,3,5,Research Director,2,Married,3175,17905,8,No,12,3,2,0,27,0,3,4,9,7,16
24,No,Non-Travel,396,Sales,20,2,Life Sciences,1,Male,96,1,3,Healthcare Representative,4,Married,1962,26206,4,Yes,12,3,4,1,22,5,4,13,1,6,11
33,Yes,Non-Travel,366,Research & Development,9,3,Technical Degree,2,Male,31,3,2,Research Scientist,3,Single,8837,18010,0,No,15,3,1,2,3,2,1,20,11,11,3
23,No,Non-Travel,1361,Sales,1,4,Life Sciences,4,Female,61,1,5,Laboratory Technician,4,Single,1093,19965,7,No,19,3,1,2,12,0,1,17,1,2,12
56,Yes,Travel_Rarely,1139,Sales,17,4,Medical,3,Male,39,4,2,Research Scientist,2,Married,3622,4972,4,Yes,12,3,3,2,11,6,3,35,1,9,11
25,No,Non-Travel,1092,Research & Development,15,5,Medical,4,Male,39,3,5,Research Director,2,Single,2037,10942,4,Yes,22,3,2,1,25,5,3,34,15,0,11
40,No,Travel_Rarely,609,Research & Development,26,3,Other,2,Male,77,2,5,Human Resources,2,Single,1352,8520,2,No,16,4,4,2,33,3,3,27,7,8,7
24,No,Travel_Rarely,1411,Research & Development,13,4,Medical,4,Male,42,1,2,Sales Executive,3,Married,13524,8699,4,No,16,3,2,3,3,5,2,22,1,0,13
20,No,Travel_Rarely,864,Research & Development,4,4,Medical,2,Male,97,2,4,Laboratory Technician,4,Single,6078,17539,0,No,18,3,1,0,29,0,3,32,5,9,16
42,No,Travel_Frequently,875,Research & Development,27,3,Technical Degree,3,Female,42,1,3,Research Scientist,2,Divorced,9345,4247,1,No,15,4,2,2,5,4,1,16,13,5,4
41,No,Non-Travel,761,Sales,22,1,Medical,3,Female,59,3,2,Laboratory Technician,1,Single,8305,5889,5,Yes,22,4,4,3,19,1,1,4,17,6,13
48,No,Travel_Rarely,683,Research & Development,3,5,Other,3,Female,38,4,3,Manufacturing Director,4,Single,12589,2591,8,No,12,3,1,2,7,4,3,30,7,5,2
58,No,Travel_Rarely,898,Human Resources,13,5,Life Sciences,2,Female,51,3,1,Manufacturing Director,3,Married,13980,4152,6,No,24,3,1,1,5,6,3,37,13,5,7
51,No,Travel_Rarely,153,Research & Development,4,1,Life Sciences,3,Male,48,3,2,Human Resources,2,Divorced,17033,14926,7,Yes,14,3,3,2,24,4,4,4,1,11,8
58,No,Non-Travel,1027,Research & Development,17,5,Other,3,Male,42,4,2,Healthcare Representative,3,Divorced,13889,12074,9,No,13,3,3,0,24,3,4,13,0,4,11
28,No,Non-Travel,1138,Research & Development,5,3,Technical Degree,3,Male,42,4,2,Manager,3,Married,19789,19939,4,Yes,12,3,4,2,23,2,4,1,6,11,4
36,No,Travel_Rarely,1237,Research & Development,4,5,Medical,4,Male,31,1,3,Research Director,1,Married,7406,26635,3,Yes,16,4,3,2,6,1,3,26,10,12,1
22,No,Non-Travel,633,Sales,24,3,Marketing,4,Female,79,3,2,Research Scientist,4,Single,13156,8085,3,No,17,3,4,1,4,0,2,2,4,1,4
46,No,Non-Travel,791,Research & Development,9,3,Life Sciences,4,Male,35,1,1,Human Resources,2,Married,16829,2864,6,No,16,3,3,2,16,2,4,34,6,13,11
29,No,Travel_Rarely,721,Research & Development,12,4,Other,4,Male,63,3,4,Research Scientist,2,Single,3971,10862,3,No,24,3,2,2,1,2,4,13,8,12,3
19,No,Non-Travel,160,Sales,12,3,Medical,2,Male,96,2,1,Sales Representative,3,Divorced,8516,15417,9,No,20,3,3,0,10,0,1,32,1,0,13
22,No,Travel_Rarely,617,Research & Development,3,3,Life Sciences,2,Female,73,1,2,Manager,3,Married,12329,11901,2,No,23,4,2,3,9,6,1,16,8,13,14
51,No,Travel_Rarely,956,Sales,22,4,Life Sciences,3,Male,85,2,4,Manufacturing Director,1,Married,2446,6360,9,Yes,24,3,3,3,31,5,2,18,6,12,8
42,No,Non-Travel,573,Research & Development,9,2,Life Sciences,1,Male,89,3,1,Manufacturing Director,4,Divorced,4023,24737,0,Yes,14,3,3,3,19,4,4,23,11,1,3
22,Yes,Non-Travel,1415,Sales,9,5,Life Sciences,4,Female,81,1,5,Sales Representative,3,Married,19738,14389,6,No,22,3,2,0,31,1,1,27,11,10,7
56,No,Travel_Rarely,1174,Research & Development,23,5,Technical Degree,2,Male,37,3,5,Manager,2,Single,7707,3804,8,No,24,3,3,1,2,3,3,5,7,12,9
30,No,Non-Travel,844,Research & Development,21,5,Life Sciences,3,Male,60,1,2,Manufacturing Director,1,Married,19901,9872,2,Yes,20,3,2,2,32,5,1,21,15,1,0
25,No,Non-Travel,153,Research & Development,5,2,Technical Degree,1,Female,36,1,4,Sales Representative,1,Single,16961,22768,8,No,18,3,2,3,13,3,3,18,13,0,11
30,No,Travel_Rarely,1069,Research & Development,1,4,Marketing,3,Female,94,3,5,Healthcare Representative,1,Married,18440,7075,2,Yes,16,3,4,3,34,4,3,19,1,9,0
46,No,Travel_Frequently,122,Sales,11,4,Other,4,Male,32,1,5,Laboratory Technician,1,Married,9655,8659,8,No,19,3,2,2,2,5,1,15,2,0,7
32,No,Travel_Rarely,261,Research & Development,21,2,Marketing,1,Male,55,4,2,Sales Representative,2,Married,4240,12300,3,No,12,3,3,0,24,0,4,26,14,3,16
29,No,Non-Travel,535,Research & Development,13,3,Technical Degree,2,Female,80,3,4,Sales Representative,1,Single,16327,17619,0,No,21,3,1,2,0,6,4,13,6,6,13
49,No,Travel_Rarely,1173,Research & Development,14,4,Technical Degree,2,Male,54,2,1,Research Director,2,Married,2673,22617,6,Yes,15,3,1,2,28,5,4,19,17,1,13
31,No,Travel_Rarely,1297,Sales,11,1,Medical,3,Male,55,2,4,Sales Representative,4,Divorced,13422,22543,0,No,20,3,1,1,25,4,4,33,6,9,8
23,No,Travel_Rarely,428,Sales,27,3,Medical,3,Female,80,4,2,Research Scientist,3,Single,15707,22038,9,No,12,4,1,2,19,0,3,19,9,8,14
52,No,Non-Travel,343,Research & Development,1,5,Life Sciences,2,Female,63,1,2,Manufacturing Director,3,Single,1595,23578,7,Yes,16,4,1,0,32,1,2,23,17,0,10
23,Yes,Travel_Rarely,394,Research & Development,12,5,Life Sciences,4,Female,82,4,3,Research Scientist,3,Single,5917,15320,8,Yes,23,3,4,2,8,2,2,20,3,9,7
33,No,Travel_Rarely,549,Research & Development,12,1,Life Sciences,4,Male,95,3,4,Human Resources,3,Married,18376,12558,5,No,15,3,2,0,16,6,2,32,6,0,3
49,No,Travel_Rarely,838,Sales,21,5,Life Sciences,3,Male,37,3,3,Research Director,1,Divorced,15307,6355,0,Yes,16,4,1,0,34,0,1,15,1,12,16
34,No,Non-Travel,118,Research & Development,12,1,Technical Degree,1,Male,85,1,1,Research Scientist,2,Single,1541,26341,4,No,16,3,4,0,37,6,1,5,10,2,14
18,Yes,Travel_Rarely,727,Research & Development,1,2,Technical Degree,1,Female,39,1,5,Healthcare Representative,3,Married,10613,6909,1,No,19,3,1,2,25,6,3,20,5,11,15
21,No,Travel_Frequently,281,Research & Development,24,1,Technical Degree,4,Male,60,2,3,Manufacturing Director,4,Married,14452,5096,6,Yes,16,3,1,0,36,4,2,11,7,1,12
46,No,Travel_Frequently,962,Research & Development,4,4,Other,2,Female,74,3,4,Research Director,3,Married,11087,3825,9,Yes,17,3,1,1,35,0,2,3,4,7,10
31,No,Travel_Rarely,880,Human Resources,3,3,Other,2,Male,54,2,2,Manufacturing Director,1,Married,18466,22751,2,No,17,3,3,1,4,5,4,15,14,6,15
49,No,Travel_Rarely,670,Human Resources,8,5,Technical Degree,4,Male,69,4,2,Laboratory Technician,4,Married,5081,21067,4,No,12,3,2,2,8,1,4,10,5,12,4
46,No,Non-Travel,1269,Research & Development,4,1,Other,1,Female,58,3,3,Manager,3,Divorced,3109,6299,5,No,20,3,3,3,16,5,3,24,2,0,3
56,No,Travel_Rarely,1166,Research & Development,19,2,Technical Degree,4,Female,93,4,4,Human Resources,3,Single,16728,12741,5,No,24,3,2,3,39,6,3,11,3,11,6
25,No,Non-Travel,1255,Research & Development,20,4,Medical,3,Male,71,3,1,Healthcare Representative,3,Married,16679,21666,2,Yes,14,4,4,1,9,5,4,12,17,6,4
41,No,Travel_Rarely,542,Research & Development,4,3,Medical,4,Female,36,4,2,Research Scientist,4,Single,3687,25016,8,No,20,3,1,1,4,2,3,35,9,2,5
58,No,Travel_Rarely,894,Research & Development,8,5,Marketing,2,Female,93,2,4,Human Resources,4,Divorced,19773,7562,6,No,13,3,3,0,31,2,2,31,12,4,10
46,No,Travel_Rarely,1472,Research & Development,12,3,Medical,2,Male,48,2,5,Laboratory Technician,2,Single,8108,3305,8,Yes,24,3,4,1,34,3,2,8,5,14,0
27,Yes,Non-Travel,477,Research & Development,28,3,Technical Degree,1,Female,54,1,4,Manager,1,Single,7597,12003,0,No,12,3,3,3,24,1,1,0,13,11,1
53,No,Non-Travel,875,Sales,4,2,Medical,3,Male,71,3,3,Human Resources,3,Divorced,12450,5392,7,No,12,4,2,0,30,6,2,3,3,0,15
44,No,Travel_Rarely,404,Research & Development,3,3,Marketing,2,Male,77,1,2,Manufacturing Director,4,Single,9042,5755,8,No,21,3,4,1,13,5,3,2,4,8,5
58,No,Travel_Rarely,1124,Research & Development,21,4,Medical,1,Female,39,1,1,Sales Representative,1,Single,7188,17802,1,No,20,4,1,2,28,0,1,36,4,2,0
59,No,Travel_Rarely,797,Research & Development,3,4,Marketing,2,Female,76,2,5,Human Resources,3,Married,10637,26915,2,No,25,3,3,2,37,6,2,8,0,12,15
49,No,Non-Travel,1335,Research & Development,27,5,Medical,2,Female,38,1,1,Laboratory Technician,3,Married,15452,15064,2,No,19,3,1,2,35,0,1,36,10,12,7
51,No,Travel_Frequently,971,Sales,8,2,Life Sciences,2,Male,62,1,4,Human Resources,1,Divorced,10087,5567,6,Yes,25,3,2,3,12,1,4,3,10,13,8
23,Yes,Travel_Rarely,899,Research & Development,3,4,Technical Degree,1,Male,50,3,4,Sales Representative,1,Divorced,5895,15518,4,Yes,15,3,4,3,31,2,2,26,16,3,8
53,No,Non-Travel,1472,Research & Development,19,3,Other,3,Male,30,3,4,Human Resources,3,Married,7137,11619,0,No,16,3,1,2,37,2,1,4,6,10,4
42,No,Travel_Frequently,914,Research & Development,14,5,Marketing,1,Male,55,1,2,Laboratory Technician,4,Married,7744,24916,2,No,24,3,3,0,12,6,3,10,8,1,14
